service,service-url,formerly,details,type,type-slug,category,category-slug,available,kiosk-friendly,kiosk-only,print-required,osssio,franchise
Apply for a release of a mortgage on a resource permit,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a sub tenure grant on a resource permit,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for an approval of production testing,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for an assessable transfer of a resource permit after an indicative approval,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for an assessable transfer of a resource permit before an indicative approval,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for indicative approval of an assessable transfer,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to add a mineral or a purpose to a mining lease,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to conditionally surrender your mining claim,https://www.business.qld.gov.au/industry/mining/applications-compliance/applying-resource-authority/minerals-coal-authorities/mining-claim,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to conduct drilling on land not included in the surface area of a mining lease,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to declare an area as a potential commercial area,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to declare an area as a potential geothermal commercial area,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to remove a caveat on a resource permit,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to sublease from a mining lease holder,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to surrender a resource permit,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to transfer ownership of a permit from someone who has died ,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Change or transfer a sublease over a mining lease permit area,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Initiate a native title process for mining and resources,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Learn about the mining and quarrying industry census,https://www.business.qld.gov.au/industry/mining/safety-health/mining-safety-health/safety-health-levy-census,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Make changes to a petroleum and gas application,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Make changes to the 'Petroleum and Gas' work program,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Notify the Explosives Directorate about blasting activity,https://www.business.qld.gov.au/industry/explosives-fireworks/licensing-other-requirements/blasting-shotfiring/obligations-licensed-shotfirers,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Remove or transfer a resource permit's ownership where assessment is not required.,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Renew your resource permit,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Report an abandoned mine site,http://www.qld.gov.au/environment/land/abandoned-mines/reporting/,,,Report it,report-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Report the completion of seismic activity,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Submit a water meter reading,https://www.business.qld.gov.au/industry/water/managing-accessing/accessing-water/water-meters/benefits-self-reading,,,Report it,report-it,"Environment, land and water",environment-land-and-water,yes,yes,no,no,no,
Report the intention to carry out seismic activity,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Transfer shares between current holders of a resource permit,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Vary a mining lease description,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Do a valuation search,https://www.business.qld.gov.au/business/support-tools-grants/services/mapping-data-imagery/queensland-globe/land-valuations,,,Find it,find-it,Homes and housing,homes-and-housing,yes,no,no,no,yes,
Download spatial data using Queensland Globe,https://data.qld.gov.au/maps-geospatial/qld-globe,,,Find it,find-it,Homes and housing,homes-and-housing,yes,no,no,no,yes,
Order Smartmaps Online,https://www.dnrm.qld.gov.au/qld/housing/smartmap-order-form,,,Apply for it,apply-for-it,Homes and housing,homes-and-housing,yes,yes,no,yes,yes,
Order spatial data using Queensland Globe,http://www.qld.gov.au/housing/buying-owning-home/about-ordering-pricing/,,,Find it,find-it,Homes and housing,homes-and-housing,yes,yes,no,no,yes,
Apply defer or make instalments for state land rent,http://www.qld.gov.au/environment/land/state/rents/deferring/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for a deed of grant over land set apart for public purposes ,http://www.qld.gov.au/environment/land/state/reserves/deeds/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for a licence to drive on temporarily closed roads ,http://www.qld.gov.au/environment/land/state/roads/licence/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for a permit to occupy on state land,http://www.qld.gov.au/environment/land/state/leases/permits/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for a reduction in rent or an instalment for a residential lease,http://www.qld.gov.au/environment/land/state/rents/hardship-assistance/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for a road closure,http://www.qld.gov.au/environment/land/state/roads/closure/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for an easement over state land,http://www.qld.gov.au/environment/land/state/easements/applying/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for an extension on a rural lease,http://www.qld.gov.au/environment/land/state/leases/rolling/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for approval for a sublease,http://www.qld.gov.au/environment/land/state/leases/sublease/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for owner's consent for a development application,http://www.qld.gov.au/environment/land/state/owner-consent/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for removal of the covenant from the land or transfer of the land to a corporation,http://www.qld.gov.au/environment/land/state/forms/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to buy or allocate a state land public purpose reservation ,http://www.qld.gov.au/environment/land/state/purchase-exchange/allocating/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to buy or lease state land,http://www.qld.gov.au/environment/land/state/forms/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to combine two or more leases on state land,http://www.qld.gov.au/environment/land/state/leases/amalgamating/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to continue a public utility easement on state land,http://www.qld.gov.au/environment/land/state/easements/public-utility/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to dedicate state land as a road,http://www.qld.gov.au/environment/land/state/roads/dedicate/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to exchange freehold or leased land,http://www.qld.gov.au/environment/land/state/purchase-exchange/exchanging/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to have a road realigned.,http://www.qld.gov.au/environment/land/state/roads/opening/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to lease trust land,http://www.qld.gov.au/environment/land/state/reserves/trustee-leases/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to renew a lease on state land,http://www.qld.gov.au/environment/land/state/leases/renewing/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to renew a rural lease,http://www.qld.gov.au/environment/land/state/forms/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to subdivide a lease on state land,http://www.qld.gov.au/environment/land/state/leases/subdividing/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
"Change a lease, licence or permit to occupy state land",http://www.qld.gov.au/environment/land/state/leases/changing/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Change the description of a lease over state land,http://www.qld.gov.au/environment/land/state/leases/amending/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Convert a lease on state land,http://www.qld.gov.au/environment/land/state/leases/converting/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Request an internal review of decision about state land,http://www.qld.gov.au/environment/land/state/use/internal-reviews/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
"Surrender a lease, licence or permit to occupy state land",http://www.qld.gov.au/environment/land/state/leases/surrendering/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Transfer a lease or licence held over state land,http://www.qld.gov.au/environment/land/state/leases/transferring/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Purchase products related to survey information,http://www.business.qld.gov.au/industry/titles-property-construction/surveying/permanent-survey-marks,,,Buy it,buy-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Lodge a settlement notice,https://www.business.qld.gov.au/industry/titles-property-construction/titles-property/electronic-lodgement-conveyancing/national,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Lodge a transfer notice,https://www.business.qld.gov.au/industry/titles-property-construction/titles-property/electronic-lodgement-conveyancing/national,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Provide notification of self-assessable vegetation clearing,http://www.qld.gov.au/environment/land/vegetation/codes/,,,Report it,report-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,no,
Purchase a title search,https://www.business.qld.gov.au/industry/titles-property-construction/titles-property/searches-documents,,,Find it,find-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Request a vegetation map,http://www.qld.gov.au/environment/land/vegetation/map-request/,,,Find it,find-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for arts funding,http://www.qld.gov.au/recreation/arts/funding/help-applying/online/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Apply for arts funding for your organisation,http://www.qld.gov.au/recreation/arts/funding/help-applying/online/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Apply for Organisations Fund,http://www.qld.gov.au/recreation/arts/funding/organisations/fund/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Applying for Arts Business Innovation Fund (ABIF) ,http://www.qld.gov.au/recreation/arts/funding/organisations/business/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Applying to Playing Queensland Fund,http://www.qld.gov.au/recreation/arts/funding/organisations/playing/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Apply for a water permit,http://www.business.qld.gov.au/industry/mining/applying-for-mining-resource-permits/data-acquisition-water-monitoring-authorities/,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Check and/or update your enrolment details for voting,http://www.qld.gov.au/about/voting-elections/enrolling-to-vote/,,,Find it,find-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,no,no,
Enrol to vote,http://www.qld.gov.au/about/voting-elections/enrolling-to-vote/,,,Apply for it,apply-for-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,no,no,
Reporting an incident about explosives or fireworks,https://www.qld.gov.au/emergency/safety/explosives-fireworks/explosives-fireworks-complaints.html,,,Report it,report-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Apply for professional advice for major projects in Queensland,https://www.business.qld.gov.au/business/support-tools-grants/support/case-management-projects,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Purchase tickets to Industry development workshops,https://www.business.qld.gov.au/business/support-tools-grants/support/workshops-seminars,,,Buy it,buy-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Apply for a formal meeting at Community Cabinet,http://www.qld.gov.au/about/contact-government/have-your-say/community-cabinet/,,,Apply for it,apply-for-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,yes,yes,
Register to be considered for a role on a government board or committee,http://www.qld.gov.au/about/how-government-works/other-government-bodies/qron/join/application-form/,,,Apply for it,apply-for-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,yes,yes,
Find out how to contribute to public consultations,https://www.getinvolved.qld.gov.au/,,,Apply for it,apply-for-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,no,no,
Pay for professional advice for plant specimen identification and information,http://www.qld.gov.au/environment/plants-animals/plants/herbarium/,,,Pay it,pay-it,"Environment, land and water",environment-land-and-water,yes,no,no,no,yes,
Central Complaints and Compliments form for Whole-of-Government,http://www.qld.gov.au/contact-us/complaints/index.html,,,Report it,report-it,Queensland and its government,about-queensland-and-its-government,yes,no,no,no,no,
Claim interest on a late government payment,http://www.business.qld.gov.au/business/support-tools-grants/support/small-business/late-payment-policy,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Apply for Government Information Technology Contracting (GITC) accreditation,https://www.qld.gov.au/gov/getting-accredited-to-supply-ict ,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Apply for hydrologic models and surface water data,https://www.business.qld.gov.au/industry/water/hydrologic-models-surface-water,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Pay for your hydrologic models and surface water data ,https://www.business.qld.gov.au/industry/water/hydrologic-models-surface-water,,,Pay it,pay-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Check the status of your online job application ,https://smartjobs.qld.gov.au/jobtools/JnCustomLogin.Login?in_organid=14904,,,Report it,report-it,Employment and jobs,employment-and-jobs,yes,no,no,no,no,
Book into a Partners in Technology event,https://www.business.qld.gov.au/events,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Book into and receive expert advice about Partners in Technology events,http://www.business.qld.gov.au/industry/ict/connecting-ict-business/events-ict-businesses,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Change of Address – multiple services,https://services.qld.gov.au/cofa/change-of-address/index.html,,,Report it,report-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,yes,yes,
Apply for a Queensland Government job,http://www.qld.gov.au/jobs/finding/,,,Apply for it,apply-for-it,Employment and jobs,employment-and-jobs,yes,yes,no,no,yes,
Apply for a payment summary,http://www.qld.gov.au/dsitia/initiatives/one-stop-shop/services-online/Forms/payg-sptn-stmt-payroll/,,,Apply for it,apply-for-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,yes,yes,
Apply for the PhD work experience program,http://www.qld.gov.au/services/forms/phd/phd-employment-experience-program.html,,,Apply for it,apply-for-it,Employment and jobs,employment-and-jobs,yes,yes,no,yes,yes,
Apply for a listing on the Queensland ICT Directory ,https://www.business.qld.gov.au/industry/ict/connecting-ict-business/queensland-ict-directory,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Book into a Queensland Wide Innovation Network (QWIN) event,http://www.qwin.com.au/q-win-forums,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Submit water release monitoring and tracking data online,https://waters.ehp.qld.gov.au/Authentication/SignIn?ReturnUrl=%2f,,,Find it,find-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a grant from the Q-CAS Collaborative Science Fund,https://www.accelerate.dsitia.qld.gov.au/qcas,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Register your mobile phone app on the Open data portal,https://data.qld.gov.au/for-developers/register-your-app,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,no,yes,
Apply for a land use map,http://environment.ehp.qld.gov.au/map-request/land-use/,,,Find it,find-it,"Environment, land and water",environment-land-and-water,yes,yes,no,no,yes,
Apply to add your organisation to the Science Capability Directory,http://www.qld.gov.au/dsitia/about-us/business-areas/innovation-science-dev/science-directory/register/,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Enter the Science for Solutions open data competition ,http://www.qld.gov.au/dsitia/initiatives/science-open-data/science-entry-form/,,,Apply for it,apply-for-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,no,yes,
Apply for information about the pollutant loads in water catchments,http://www.qld.gov.au/dsitia/science/services/sci-reefsds-form/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply for an ex-government employee separation certificate,http://www.qld.gov.au/dsitia/initiatives/one-stop-shop/services-online/Forms/payg-sptn-stmt-payroll/,,,Apply for it,apply-for-it,Queensland and its government,about-queensland-and-its-government,yes,yes,no,yes,yes,
Receive information about soil management,http://www.qld.gov.au/environment/land/soil/soil-data/mapping/,,,Find it,find-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Apply to be a business mentor,http://www.business.qld.gov.au/business/business-improvement/mentoring-growth/register-mentor,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,no,
Register your business to be mentored with Mentor for growth,https://www.business.qld.gov.au/business/business-improvement/mentoring-growth/register-business,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Seek help in accessing your Australian Business Account (ABA),http://www.business.qld.gov.au/queensland-government-business-account,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
"Register for a business event, workshop or seminar",http://www.business.qld.gov.au/events,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Update your mentoring details ,http://www.business.qld.gov.au/business/business-improvement/mentoring-growth/register-mentor,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Find tourist investment opportunities,https://www.business.qld.gov.au/investor-form,,,Find it,find-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
List your Queensland tourism project,http://www.business.qld.gov.au/invest/investing-queenslands-industries/tourism-investment/apply-list-project,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Change your address with the Department of Transport and Main Roads,http://www.qld.gov.au/transport/licensing/update/details/index.html,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Change your Compulsory third party (CTP) insurance details,https://www.service.transport.qld.gov.au/changectpinsurance/public/Welcome.xhtml?windowId=fb9,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Buy Learner licence logbooks and related products,https://publications.qld.gov.au/dataset/your-keys-to-driving-in-queensland,,,Buy it,buy-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Apply for a late night driving exemption ,https://www.service.transport.qld.gov.au/requestlndrexemption/public/Welcome.xhtml?windowId=134,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Apply for an exemption from learner logbook requirements,https://www.service.transport.qld.gov.au/requestlogbookexemption/public/Welcome.xhtml?windowId=a26,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Book a practical driving test,https://www.service.transport.qld.gov.au/SBSExternal/CleanBookingDE.jsp,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,no,
Apply for your motorcycle learner licence ,https://www.service.transport.qld.gov.au/motorbikeknowledgeexam/public/Welcome.xhtml?windowId=0ce,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Apply for your traffic history,http://www.qld.gov.au/transport/licensing/history/traffic/index.html,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Check a high-powered vehicle status,https://www.service.transport.qld.gov.au/hpv/application/TermAndConditions.xhtml?windowId=fe4,,,Find it,find-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Check your licence demerit points,https://www.service.transport.qld.gov.au/checkmydemeritpoints/public/Welcome.xhtml?windowId=b6b,,,Find it,find-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Complete the hazard perception test,https://www.service.transport.qld.gov.au/hpt/public/Welcome.xhtml?windowId=85d,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Practice a road rules test,https://www.service.transport.qld.gov.au/practiceroadrulestest/public/Welcome.xhtml?windowId=a12,,,Find it,find-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Renew your driver licence ,https://www.qld.gov.au/transport/licensing/driver-licensing/renew-replace/renew/online/index.html,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Replace your driver licence,https://www.qld.gov.au/transport/licensing/driver-licensing/renew-replace/replace/index.html,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Report a medical condition (if you are a health professional),https://www.service.transport.qld.gov.au/notifymedicalcondition/public/Welcome.xhtml?windowId=be2,,,Report it,report-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Report a medical condition (if you are the driver),https://www.service.transport.qld.gov.au/notifymymedicalcondition/public/Welcome.xhtml?windowId=7ff,,,Report it,report-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Verify your marine licence,https://www.service.transport.qld.gov.au/checkmarinelicence/public/Welcome.xhtml?windowId=887,,,Find it,find-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Choose your driver demerit point enforcement option,https://www.service.transport.qld.gov.au/notifydemeritpointsenforcementoption/public/Welcome.xhtml?windowId=359,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Pay a fine,https://www.service.transport.qld.gov.au/payforinfringement/public/Welcome.xhtml?windowId=620,,,Pay it,pay-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Apply for your learner licence,http://www.qld.gov.au/transport/licensing/driver-licensing/applying/learner/,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,no,
Apply for your dangerous goods driver licence,https://www.service.transport.qld.gov.au/applyfordangerousgoodsdriverlicence/public/Welcome.xhtml?windowId=f58,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Pay your Transport and Main Roads invoice online,https://www.service.transport.qld.gov.au/payinvoice/public/Welcome.xhtml,,,Pay it,pay-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,no,
Apply for your traffic controller accreditation,https://www.service.transport.qld.gov.au/applyfortrafficcontrolleraccreditation/public/Welcome.xhtml?windowId=8be,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Replace your learners licence,https://www.service.transport.qld.gov.au/replacedriverlicence/public/Welcome.xhtml?windowId=419,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Apply for your unregistered vehicle permit,"https://www.service.transport.qld.gov.au/unregisteredvehiclepermit/public/Welcome.xhtml 
",,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Apply for personalised number plates,http://www.qld.gov.au/transport/registration/personalised/index.html,,,Pay it,pay-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Public transport MyTranslink app,http://translink.com.au/about-translink/connect-with-translink/mytranslink,,,Find it,find-it,Transport and motoring,transport-and-motoring,yes,no,no,no,yes,
Check the status of a vehicle registration ,https://www.service.transport.qld.gov.au/checkrego/application/TermAndConditions.xhtml?windowId=eeb,,,Find it,find-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Get a quote for a registration,http://www.qld.gov.au/transport/registration/fees/cost/index.html,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Renew your vehicle or boat registration,https://www.service.transport.qld.gov.au/renewregistration/public/Welcome.xhtml?windowId=add,,,Pay it,pay-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Renew your vehicle registration by direct debit ,http://www.qld.gov.au/transport/registration/fees/pay/directdebit/enrol-eligible/index.html,,,Pay it,pay-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Report a smoky vehicle,https://www.service.transport.qld.gov.au/reportsmokyvehicle/public/Welcome.xhtml?windowId=f4c,,,Report it,report-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Replace your registration label or registration certificate ,https://www.service.transport.qld.gov.au/replacementcertificateQt/public/Welcome.xhtml?windowId=596,,,Apply for it,apply-for-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Log in to your TMR my Account,https://www.service.transport.qld.gov.au/tmrportal,,,Find it,find-it,Transport and motoring,transport-and-motoring,yes,yes,no,yes,yes,
Book a vehicle inspection,http://www.qld.gov.au/transport/buying/vehicleinspection/bookinspection/index.html,,,Pay it,pay-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,no,
Apply for a tourist service sign,http://www.business.qld.gov.au/industry/tourism/applying-road-sign/submitting-application,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Renew a tourist attraction sign,http://www.business.qld.gov.au/industry/tourism/applying-road-sign/submitting-application,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
